Label,CopyFileA,CopyFileW,CreateDirectoryW,DeleteFileW,DeviceIoControl,FindFirstFileExW,GetFileAttributesExW,GetFileAttributesW,GetFileInformationByHandle,GetFileInformationByHandleEx,GetFileSize,GetFileSizeEx,GetFileType,GetFileVersionInfoExW,GetFileVersionInfoSizeExW,GetFileVersionInfoSizeW,GetFileVersionInfoW,GetShortPathNameW,GetSystemDirectoryA,GetSystemDirectoryW,GetSystemTimeAsFileTime,GetSystemWindowsDirectoryA,GetSystemWindowsDirectoryW,GetTempPathW,GetVolumeNameForVolumeMountPointW,GetVolumePathNamesForVolumeNameW,GetVolumePathNameW,InternetReadFile,MoveFileWithProgressW,NtCreateFile,NtDeviceIoControlFile,NtOpenDirectoryObject,NtOpenFile,NtQueryAttributesFile,NtQueryDirectoryFile,NtQueryInformationFile,NtReadFile,NtSetInformationFile,NtWriteFile,RemoveDirectoryA,RemoveDirectoryW,SearchPathW,SetEndOfFile,SetFileAttributesW,SetFileInformationByHandle,SetFilePointer,SetFilePointerEx,SetFileTime,SUMMARY_DIRECTORY_CREATED,SUMMARY_DIRECTORY_ENUMERATED,SUMMARY_DIRECTORY_REMOVED,SUMMARY_FILE_COPIED,SUMMARY_FILE_CREATED,SUMMARY_FILE_DELETED,SUMMARY_FILE_EXISTS,SUMMARY_FILE_FAILED,SUMMARY_FILE_MOVED,SUMMARY_FILE_OPENED,SUMMARY_FILE_READ,SUMMARY_FILE_RECREATED,SUMMARY_FILE_WRITTEN,URLDownloadToFileW,FindFirstFileExA,NtQueryFullAttributesFile
Goodware,1,0,0,51,216,139,0,93,0,0,336,40,2112,0,0,0,0,0,0,26,2108,0,6,0,6,0,0,16,0,0,109,0,0,45,307,467,712,265,658,0,0,2,1859,8,3,0,63,80,3,0,0,0,23,24,57,4,0,0,0,1,0,0,0,0
Ransomware,0,0,0,0,266,0,45,0,2,3,32,98,274,0,0,1,0,4,0,12,0,13,34,3,5,0,0,0,0,3499,839,0,0,0,31,658,0,455,522,0,0,46,0,0,0,0,0,36,12,18,0,0,2372,14,163,227,1292,0,0,0,45,0,0,0
Ransomware,0,0,0,94,0,471,39,472,0,14,0,5,0,0,0,0,1,4,0,113,1295,8,31,18,0,0,0,11,20,585,671,1,0,207,13,526,0,362,412,0,0,2,224,15,0,0,72,57,88,108,5,0,51,14,0,102,15,0,0,0,63,63,0,0
Goodware,0,0,0,19,310,346,56,0,0,18,49,71,0,16,0,0,1,0,0,22,0,1,22,3,13,0,0,8,0,428,309,0,0,47,472,552,0,80,919,0,0,76,540,0,0,201,4,0,0,33,0,0,43,15,0,183,0,5,6,0,29,0,0,0
Ransomware,0,0,0,32,91,114,20,38,2,118,23,53,328,0,0,0,1,1,20,1,644,28,56,6,0,6,0,2677,15,0,394,0,0,47,209,0,0,58,0,0,0,7,393,45,0,0,101,64,0,0,0,0,0,32,0,134,0,0,68,0,35,0,0,0
Ransomware,0,0,0,85,407,0,0,200,7,0,32,0,98,1,14,0,5,5,13,28,0,27,0,0,0,7,1,24,22,0,1435,0,0,79,365,599,0,44,0,0,0,1,213,0,29,244,0,0,130,0,0,0,0,0,0,181,2213,0,0,0,54,0,30,4
Goodware,26,0,0,146,298,436,0,0,8,0,336,51,286,0,2,0,3,1,22,18,0,32,23,2,0,7,0,13,0,441,1360,1,0,175,343,164,0,334,0,0,0,1,0,45,0,921,137,33,10,0,0,0,0,7,44,41,0,0,32,0,103,0,0,0
Ransomware,0,0,0,84,328,0,4,383,0,18,487,93,0,0,0,2,6,0,0,21,0,18,41,4,0,0,0,14,18,242,1061,0,0,345,235,492,0,347,0,0,0,1,0,0,0,0,151,0,0,0,0,0,30,8,0,104,0,0,0,0,2363,0,0,0
Goodware,0,0,0,82,126,0,75,361,0,0,2229,77,12,3,0,0,0,1,16,21,0,6,10,4,11,7,1,14,0,634,0,0,0,0,274,335,0,176,3888,0,0,1,0,40,0,0,118,0,0,35,4,0,0,6,143,3899,0,0,0,0,2226,0,0,0
Ransomware,0,0,20,99,162,0,9,327,0,13,13,101,0,14,0,1,1,3,0,17,3081,22,40,1,9,7,0,1,0,291,866,1,81,53,669,0,143,313,1855,0,0,39,0,15,0,0,100,41,0,0,1,0,22,21,2888,0,0,2324,41,2,18,0,0,0
Ransomware,0,0,0,82,0,0,41,0,0,1,29,62,89,0,2,0,7,0,0,145,1140,13,0,0,0,0,0,18,0,1728,1736,1,0,2624,88,654,5,432,1259,0,0,15,3024,496,0,0,99,0,0,0,0,0,27,9,0,44,0,0,0,1,0,0,0,0
Ransomware,0,0,0,7,255,0,52,330,1,15,0,0,328,0,0,0,6,0,0,0,0,7,29,5,0,0,0,12,0,124,655,0,0,11,0,660,408,374,2457,0,0,15,0,0,0,0,92,0,0,67,0,0,62,1,65,201,0,0,47,2,62,0,0,0
Ransomware,0,0,89,83,79,0,59,277,0,0,25,0,0,0,0,0,6,0,0,26,1863,2,24,4,0,0,2,0,2,445,922,0,365,0,6292,456,0,522,33,2,0,2,0,0,0,0,120,117,0,101,6,0,14,15,0,149,0,0,23,0,385,63,30,0
Ransomware,0,1,199,48,147,141,0,249,0,22,389,58,550,0,0,0,8,1,7,27,0,0,43,1,6,0,0,1,0,416,1417,2,0,47,0,571,261,445,346,0,0,10,126,0,0,0,136,0,2,15,0,0,876,21,0,0,9,0,0,0,0,0,0,0
Goodware,1,0,79,55,113,83,0,340,0,4,0,38,80,0,3,0,1,0,0,30,0,12,48,2,11,0,2,21,11,493,581,0,0,13,0,455,0,175,0,10,0,1,904,777,0,0,10713,0,0,330,0,0,44,13,0,81,0,0,0,0,0,0,0,0
Ransomware,0,0,11,123,373,0,49,8057,0,9,8,0,124,14,0,0,4,9,0,23,1769,12,41,0,0,13,0,10,25,126,588,1,0,68,0,117,0,465,816,0,0,163,1098,0,0,0,0,135,0,41,0,2,55,0,97,133,17,0,0,0,66,1,0,0
Goodware,0,0,0,125,44,0,24,1684,10,18,0,0,0,0,0,1,4,6,6,10,0,19,32,3,0,0,0,9,25,618,1055,27,0,197,0,463,336,493,2161,4,0,16,240,13,0,0,0,0,0,117,0,0,33,13,1388,101,10,0,0,0,0,0,0,0
