Label,CopyFileA,CopyFileW,CreateDirectoryW,DeleteFileW,DeviceIoControl,FindFirstFileExW,GetFileAttributesExW,GetFileAttributesW,GetFileInformationByHandle,GetFileInformationByHandleEx,GetFileSize,GetFileSizeEx,GetFileType,GetFileVersionInfoExW,GetFileVersionInfoSizeExW,GetFileVersionInfoSizeW,GetFileVersionInfoW,GetShortPathNameW,GetSystemDirectoryA,GetSystemDirectoryW,GetSystemTimeAsFileTime,GetSystemWindowsDirectoryA,GetSystemWindowsDirectoryW,GetTempPathW,GetVolumeNameForVolumeMountPointW,GetVolumePathNamesForVolumeNameW,GetVolumePathNameW,InternetReadFile,MoveFileWithProgressW,NtCreateFile,NtDeviceIoControlFile,NtOpenDirectoryObject,NtOpenFile,NtQueryAttributesFile,NtQueryDirectoryFile,NtQueryInformationFile,NtReadFile,NtSetInformationFile,NtWriteFile,RemoveDirectoryA,RemoveDirectoryW,SearchPathW,SetEndOfFile,SetFileAttributesW,SetFileInformationByHandle,SetFilePointer,SetFilePointerEx,SetFileTime,SUMMARY_DIRECTORY_CREATED,SUMMARY_DIRECTORY_ENUMERATED,SUMMARY_DIRECTORY_REMOVED,SUMMARY_FILE_COPIED,SUMMARY_FILE_CREATED,SUMMARY_FILE_DELETED,SUMMARY_FILE_EXISTS,SUMMARY_FILE_FAILED,SUMMARY_FILE_MOVED,SUMMARY_FILE_OPENED,SUMMARY_FILE_READ,SUMMARY_FILE_RECREATED,SUMMARY_FILE_WRITTEN,URLDownloadToFileW,FindFirstFileExA,NtQueryFullAttributesFile
Goodware,0,0,0,0,0,0,13,51,0,0,0,36,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
Goodware,0,0,0,0,0,0,13,51,0,0,0,36,0,0,0,0,0,7,0,0,0,0,0,0,5,0,0,0,0,521,0,0,395,10,514,0,666,53,0,0,0,0,0,0,0,452,0,0,14,31,0,0,28,0,0,0,0,0,69,0,36,0,0,0
Ransomware,0,0,0,0,0,0,13,51,0,0,0,36,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
Ransomware,0,0,0,0,0,70,13,51,0,0,0,36,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
Goodware,0,0,0,0,0,0,13,51,0,0,0,36,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
Goodware,0,0,65,0,0,70,13,51,0,0,0,36,0,0,0,0,0,7,0,3,0,0,0,0,0,8,0,0,0,521,0,0,395,10,514,0,665,0,0,0,0,0,0,0,0,452,0,0,14,31,0,0,28,0,0,0,0,0,2,0,1,0,0,0
Goodware,0,0,65,0,0,68,13,51,0,0,0,36,5,0,0,0,0,7,0,0,0,1578,0,0,5,8,0,0,0,4947,1684,0,6655,160,514,0,668,0,0,0,0,0,1331,0,0,20094,0,0,311,173,0,0,1954,0,0,0,0,0,69,0,1,0,0,0
Ransomware,0,0,0,0,0,0,13,51,0,0,0,36,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,521,1684,0,395,10,512,0,661,52,0,0,0,0,0,0,0,1,0,0,14,28,0,0,28,0,0,0,0,0,2,0,36,0,0,0
Goodware,0,0,0,0,0,0,13,51,0,0,0,36,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
Goodware,0,0,0,0,0,0,13,51,0,0,0,36,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
Ransomware,0,0,0,0,0,0,13,51,0,0,0,36,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
Ransomware,0,0,0,0,0,0,13,51,0,0,0,36,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,663,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
Ransomware,0,0,65,0,0,70,13,51,0,0,0,36,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,521,0,0,395,10,514,0,667,53,0,0,0,0,0,0,0,1,0,0,14,23,0,0,28,0,0,0,0,0,2,0,36,0,0,0
Goodware,0,0,65,0,0,69,13,5919,0,0,0,36,0,0,0,0,0,7,0,3,0,0,0,0,5,0,0,0,0,520,1677,0,394,0,509,0,666,51,0,0,0,0,0,0,0,451,0,0,14,28,0,0,28,0,0,0,0,0,2,0,1,0,0,0
Ransomware,0,0,65,0,0,0,13,51,0,0,0,36,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,10,0,0,395,10,514,0,658,0,0,0,0,0,0,0,0,1,0,0,0,22,0,0,0,0,0,0,0,0,69,0,1,0,0,0
Ransomware,0,0,0,0,0,0,13,51,0,0,0,36,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
Goodware,0,0,0,0,0,0,13,51,0,0,0,36,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
Goodware,0,0,65,0,0,70,13,51,0,8,20,36,0,0,0,0,5,7,0,6,0,0,0,0,5,8,0,0,0,521,0,0,394,160,513,0,658,53,0,0,0,0,0,0,0,1,0,0,0,17,0,0,0,0,0,0,0,0,69,0,36,0,0,0
Goodware,0,0,0,0,0,70,13,51,0,0,0,36,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4949,0,0,2,160,0,0,2,0,0,0,0,0,1331,0,0,1,0,0,14,0,2,0,0,0,0,0,0,0,2,0,2143,0,0,0
