Label,CopyFileA,CopyFileW,CreateDirectoryW,DeleteFileW,DeviceIoControl,FindFirstFileExW,GetFileAttributesExW,GetFileAttributesW,GetFileInformationByHandle,GetFileInformationByHandleEx,GetFileSize,GetFileSizeEx,GetFileType,GetFileVersionInfoExW,GetFileVersionInfoSizeExW,GetFileVersionInfoSizeW,GetFileVersionInfoW,GetShortPathNameW,GetSystemDirectoryA,GetSystemDirectoryW,GetSystemTimeAsFileTime,GetSystemWindowsDirectoryA,GetSystemWindowsDirectoryW,GetTempPathW,GetVolumeNameForVolumeMountPointW,GetVolumePathNamesForVolumeNameW,GetVolumePathNameW,InternetReadFile,MoveFileWithProgressW,NtCreateFile,NtDeviceIoControlFile,NtOpenDirectoryObject,NtOpenFile,NtQueryAttributesFile,NtQueryDirectoryFile,NtQueryInformationFile,NtReadFile,NtSetInformationFile,NtWriteFile,RemoveDirectoryA,RemoveDirectoryW,SearchPathW,SetEndOfFile,SetFileAttributesW,SetFileInformationByHandle,SetFilePointer,SetFilePointerEx,SetFileTime,SUMMARY_DIRECTORY_CREATED,SUMMARY_DIRECTORY_ENUMERATED,SUMMARY_DIRECTORY_REMOVED,SUMMARY_FILE_COPIED,SUMMARY_FILE_CREATED,SUMMARY_FILE_DELETED,SUMMARY_FILE_EXISTS,SUMMARY_FILE_FAILED,SUMMARY_FILE_MOVED,SUMMARY_FILE_OPENED,SUMMARY_FILE_READ,SUMMARY_FILE_RECREATED,SUMMARY_FILE_WRITTEN,URLDownloadToFileW,FindFirstFileExA,NtQueryFullAttributesFile
Goodware,0,0,11,18,0,0,13,115,3,2,0,7,46,0,0,0,0,0,0,2,161,4,20,0,3,0,0,0,0,126,76,0,45,0,345,0,675,3,88,0,0,0,483,3,0,3,6,6,1,0,0,0,5,0,0,0,1,0,4,2,33,0,0,0
Goodware,0,0,2,27,57,111,5,43,1,0,1,23,258,0,0,0,1,2,0,4,367,2,11,2,4,0,4,0,0,0,345,0,44,1,333,255,425,86,69,0,0,0,0,6,0,138,24,0,1,2,0,0,5,4,36,110,8,63,16,0,0,0,0,0
Ransomware,0,0,1,2,86,0,0,13,0,0,4,0,59,0,0,0,0,0,0,3,679,2,11,1,1,0,3,0,6,247,0,0,99,0,0,0,0,77,191,0,0,0,363,15,0,286,0,9,0,0,0,0,3,0,7,39,0,26,8,1,0,0,0,0
Goodware,0,0,4,0,41,0,0,35,0,2,5,0,0,0,0,0,0,3,4,11,363,0,11,0,0,0,4,0,4,275,0,0,0,3,165,111,362,193,25,0,0,1,351,8,0,0,4,55,1,18,0,0,0,0,0,0,12,37,18,2,0,0,0,0
Goodware,0,0,8,0,0,149,12,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,1,0,5,10,245,0,0,3,109,116,365,47,0,0,0,0,259,5,0,201,0,0,1,59,0,0,4,12,0,0,7,0,13,0,30,0,0,0
Ransomware,0,0,0,0,0,0,12,35,0,0,0,9,0,0,0,0,0,2,0,8,0,0,1,2,1,0,0,0,0,0,72,0,0,5,13,49,247,66,0,0,0,1,52,8,0,218,2,0,0,22,0,0,4,6,52,0,7,40,36,0,4,0,0,0
Goodware,0,0,25,8,41,53,0,121,4,1,6,1,80,0,0,1,0,2,3,0,65,0,28,2,12,0,2,0,0,0,267,0,0,5,331,0,0,98,130,0,0,0,346,6,0,0,0,0,3,0,0,0,11,7,55,24,3,69,35,0,10,0,0,0
Goodware,0,0,3,13,73,342,7,7,2,0,6,0,105,0,0,0,0,3,4,1,62,4,14,1,3,0,0,2,0,0,407,1,104,0,233,97,0,4,198,0,0,0,242,1,0,0,16,82,2,37,0,0,7,2,27,0,0,6,15,0,0,0,0,0
Ransomware,0,0,0,21,7,0,4,0,0,0,4,17,40,0,0,0,0,0,4,0,0,0,1,1,2,0,0,1,4,0,0,0,0,10,258,0,205,102,210,0,0,0,69,0,0,109,0,27,1,0,0,0,0,2,66,7,9,102,0,1,0,0,0,0
Goodware,0,0,0,0,17,0,0,38,0,1,6,20,96,0,0,0,0,0,0,1,392,0,19,1,0,0,0,0,1,260,26,0,137,2,0,120,459,52,15,0,0,1,508,0,0,171,35,0,0,0,0,0,1,4,66,0,0,80,40,0,31,0,0,0
Ransomware,0,0,0,0,0,0,15,0,2,1,0,0,14,0,0,0,0,1,0,7,278,0,0,2,1,0,3,0,0,0,281,0,52,17,0,34,0,82,187,0,0,0,0,0,0,299,0,0,2,41,0,0,13,0,28,28,0,0,13,0,22,0,0,0
Ransomware,0,0,0,0,0,0,13,28,0,0,4,0,0,0,0,0,0,3,6,0,226,0,0,2,0,0,0,2,0,0,338,0,67,15,35,0,186,89,306,0,0,1,906,0,0,51,0,24,0,10,0,0,0,2,0,0,4,22,13,0,0,0,0,0
Goodware,0,0,11,0,0,7,29,95,2,0,4,1,34,0,0,0,0,1,0,7,262,0,0,1,4,0,1,0,2,30,271,0,29,3,0,0,0,38,134,0,0,0,231,6,0,361,12,0,0,26,0,0,0,13,2,13,1,47,45,1,32,0,0,0
Goodware,0,0,5,34,0,154,9,65,1,0,11,0,153,0,0,0,0,2,0,13,353,0,4,1,3,0,2,0,3,0,476,0,71,0,229,0,96,0,239,0,0,0,0,0,0,0,38,42,0,0,0,0,18,0,4,0,0,10,1,0,16,0,0,0
Ransomware,0,0,0,17,83,285,25,0,3,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,4,0,0,0,0,49,0,0,65,0,69,23,0,0,115,0,0,0,821,27,0,0,0,77,2,17,0,0,6,8,24,14,16,36,0,3,0,0,0,0
Goodware,0,0,7,13,40,193,31,35,0,0,13,3,177,0,0,1,0,2,3,0,333,0,9,1,2,0,2,0,7,205,250,1,135,0,0,194,499,0,47,0,0,0,0,0,0,307,8,0,2,48,0,0,19,7,55,0,5,23,10,2,18,0,0,0
Goodware,0,0,0,2,14,86,10,23,2,1,0,13,70,0,0,0,0,0,9,6,688,0,0,0,1,0,0,0,3,154,0,0,31,0,61,0,0,77,129,0,0,0,851,5,0,110,0,0,0,17,0,0,0,4,0,33,4,52,1,1,23,0,0,0
Ransomware,0,0,3,0,14,40,6,102,0,0,0,15,28,0,0,0,0,0,1,2,30,0,5,1,3,0,0,1,0,0,262,0,75,0,0,316,0,1,0,0,0,0,0,14,0,0,0,8,0,55,0,0,0,0,5,45,0,0,0,2,14,0,0,0
Ransomware,0,0,17,0,0,202,0,70,0,0,0,4,8,0,0,0,1,3,5,6,381,1,2,0,2,0,0,0,3,11,231,0,97,10,86,0,247,88,0,0,0,0,0,0,0,113,0,15,0,12,0,0,19,0,26,25,0,59,29,0,0,0,0,0
Goodware,0,0,2,10,63,7,18,37,1,0,0,8,0,0,0,0,0,1,4,10,388,0,7,1,2,0,0,0,0,284,0,0,201,10,0,53,0,0,0,0,0,0,0,24,0,118,0,38,4,6,0,0,0,0,0,47,0,26,15,0,0,0,0,0
Goodware,0,0,0,0,0,76,6,122,4,1,5,24,45,0,0,0,0,2,0,0,195,1,14,1,3,0,0,0,1,199,394,1,38,16,93,52,799,20,216,0,0,0,124,5,0,19,2,24,2,46,0,0,0,0,0,13,2,94,34,0,18,0,0,0
Goodware,0,0,10,5,0,176,14,65,0,1,0,9,0,0,0,0,0,0,0,13,0,4,26,0,4,8,0,0,0,0,50,0,60,7,156,0,0,60,0,0,0,0,674,9,0,354,0,0,2,46,0,0,14,4,0,31,0,71,33,1,27,0,0,0
Ransomware,0,0,0,5,0,105,12,0,0,1,0,12,9,0,0,0,0,0,0,3,77,1,0,2,0,0,0,0,5,113,0,1,82,2,0,0,301,11,122,0,0,1,0,0,0,169,0,15,3,0,0,0,10,3,0,20,0,0,6,0,0,0,0,0
Goodware,0,0,5,0,55,161,13,158,0,0,10,18,6,0,0,0,0,1,7,2,394,3,0,2,0,0,0,0,0,89,155,0,159,14,199,0,0,83,0,0,0,0,544,21,0,0,0,53,4,2,0,0,0,5,39,60,0,65,16,1,0,0,0,0
Ransomware,0,0,0,9,45,280,8,0,0,0,0,18,93,0,0,0,0,0,0,1,281,0,0,0,3,0,0,0,0,0,0,0,145,3,262,0,58,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,34,29,0,5,10,0,0,0,0,0
Goodware,0,0,0,21,28,142,0,179,4,1,3,0,184,0,0,0,0,0,2,8,0,5,0,0,8,0,0,0,10,0,194,1,2,11,199,0,0,10,0,0,0,0,213,0,0,82,19,41,4,41,0,0,6,6,97,0,0,86,23,3,23,0,0,0
Ransomware,0,0,17,0,6,145,22,1,0,0,0,11,0,0,0,0,0,4,0,0,0,0,8,2,0,0,3,0,4,0,0,1,0,0,132,96,0,0,0,0,0,0,0,0,0,77,0,34,1,95,0,0,0,0,0,0,0,36,5,0,0,0,0,0
Ransomware,0,0,13,0,55,0,0,3,2,2,5,11,121,0,0,0,0,0,0,10,505,0,3,1,0,0,1,0,5,147,0,0,0,4,104,0,0,82,0,0,0,0,0,0,0,14,22,72,2,20,0,0,0,4,0,13,5,4,24,2,21,0,0,0
Goodware,0,0,12,28,7,308,0,35,1,0,7,5,81,0,0,0,0,0,3,1,0,3,0,0,1,0,2,0,2,0,230,0,0,0,0,49,49,79,36,0,0,0,951,0,0,88,7,19,0,14,0,0,0,5,26,18,0,0,31,2,39,0,0,0
Ransomware,0,0,5,0,49,5,0,14,4,0,0,0,28,0,0,0,0,0,2,3,81,0,14,2,4,0,0,2,0,31,73,1,41,1,0,0,399,91,81,0,0,0,91,0,0,30,0,19,2,0,0,0,2,10,0,19,0,53,6,0,23,0,0,0
Ransomware,0,0,8,28,0,169,0,0,0,0,0,15,0,0,0,0,0,0,6,0,0,0,0,1,1,0,1,0,11,192,274,0,46,6,11,0,0,12,34,0,0,0,0,0,0,55,41,0,2,0,0,0,0,10,64,22,4,65,18,0,14,0,0,0
Goodware,0,0,10,14,0,0,35,0,0,0,16,0,0,0,0,0,0,0,6,7,440,0,7,2,0,0,5,0,0,168,0,0,171,16,48,83,198,45,0,0,0,1,0,14,0,79,11,43,2,0,0,0,7,6,0,7,9,0,16,0,17,0,0,0
Goodware,0,0,6,24,59,79,30,190,0,1,1,0,0,0,0,0,0,0,1,2,15,0,23,0,4,0,3,0,2,51,213,0,68,1,181,87,122,70,216,0,0,1,71,1,0,129,0,33,0,14,0,0,16,0,69,39,4,150,2,1,28,0,0,0
Goodware,0,0,15,0,0,74,15,214,1,1,0,30,94,0,0,0,3,3,5,6,292,1,13,0,6,0,1,0,0,106,151,0,0,16,165,199,257,17,97,0,0,0,1061,0,0,73,17,38,5,20,0,0,19,8,49,1,2,72,45,0,9,0,0,0
Ransomware,0,0,9,0,70,0,0,0,0,0,0,14,0,0,0,1,0,0,0,6,0,0,12,2,4,0,0,0,2,0,0,0,0,0,0,108,0,0,100,0,0,1,0,0,0,41,19,63,3,0,0,0,24,0,7,39,6,77,2,0,29,0,0,0
Goodware,0,0,6,15,11,241,14,55,1,1,13,38,76,0,0,0,0,2,7,0,9,0,12,0,5,0,0,0,0,192,0,1,268,6,239,163,251,174,220,0,0,0,275,0,0,0,44,0,2,6,0,0,18,8,70,56,3,66,2,2,3,0,0,0
Ransomware,0,0,4,9,0,8,0,0,4,0,0,0,0,0,0,0,0,1,0,7,195,1,2,0,2,0,3,1,5,102,0,0,38,7,0,25,0,73,189,0,0,0,494,6,0,0,0,24,1,0,0,0,3,3,0,0,0,0,19,0,0,0,0,0
Ransomware,0,0,3,17,94,22,47,70,1,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,1,1,0,35,0,0,20,12,0,15,314,0,58,0,0,0,0,8,0,217,14,0,0,0,0,0,3,1,10,10,9,34,2,2,0,0,0,0
Goodware,0,0,5,0,47,172,37,16,3,1,0,3,0,0,0,0,0,0,8,11,244,0,4,2,5,0,0,0,0,222,0,0,65,18,115,83,620,64,0,0,0,1,164,10,0,0,3,0,4,23,0,0,22,4,23,78,5,72,26,2,28,0,0,0
Goodware,0,0,8,0,49,194,17,69,0,1,0,22,88,0,0,0,0,0,8,10,0,0,12,0,5,0,5,2,0,162,0,0,84,0,240,43,309,168,154,0,0,0,0,2,0,103,25,29,5,19,0,0,1,16,8,35,0,0,41,1,0,0,0,0
Ransomware,0,0,0,35,13,0,27,0,0,0,0,4,6,0,0,0,0,4,0,1,69,0,5,0,0,0,2,3,0,126,0,0,259,2,0,112,473,0,104,0,0,1,554,0,0,158,26,0,3,12,0,0,0,0,0,0,7,57,0,0,17,0,0,0
Ransomware,0,0,0,0,0,0,22,0,0,0,1,18,144,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,229,369,0,0,12,10,16,99,38,0,0,0,0,614,0,0,121,0,63,2,7,0,0,0,1,92,2,4,20,0,0,14,0,0,0
